 2017-05-16 18:42:41,491 [P9192/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will rebuild its caches and indexes and then adjust it's last synced id to the latest found in the database and will start maintaining cache updates based on that id
 2017-05-16 18:42:41,532 [P9192/D2/T1] INFO  umbraco.content - Load Xml from file...
 2017-05-16 18:42:41,533 [P9192/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2017-05-16 18:42:41,536 [P9192/D2/T1] INFO  umbraco.content - Loading content from database...
 2017-05-16 18:42:41,823 [P9192/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-05-16 18:42:41,832 [P9192/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-05-16 18:42:41,832 [P9192/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-05-16 18:42:41,837 [P9192/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1508ms)
 2017-05-16 18:42:42,570 [P9192/D2/T7] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:60222/umbraco (UmbracoModule request)
 2017-05-16 18:42:48,746 [P9192/D2/T14] INFO  umbraco.content - Save Xml to file...
 2017-05-16 18:42:48,752 [P9192/D2/T9] INFO  umbraco.content - Saved Xml to file.
 2017-05-16 18:42:48,922 [P9192/D2/T7] WARN  Umbraco.Web.UmbracoModule - Umbraco has no content
 2017-05-16 18:49:48,869 [P4100/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.2 application starting on MARK-PC
 2017-05-16 18:49:48,889 [P4100/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-05-16 18:49:48,897 [P4100/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 7ms)
 2017-05-16 18:49:48,989 [P4100/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-05-16 18:49:49,175 [P4100/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 185ms)
 2017-05-16 18:49:49,185 [P4100/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-05-16 18:49:49,188 [P4100/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
 2017-05-16 18:49:49,188 [P4100/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-05-16 18:49:49,192 [P4100/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 4ms)
 2017-05-16 18:49:49,202 [P4100/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-05-16 18:49:49,204 [P4100/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 2ms)
 2017-05-16 18:49:49,205 [P4100/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
